"ID","Source Name","Recency","Data (Key Fields)","Endpoint","Format","Auth Required","Notes / Caveats"
"1","Indego Trip Data","Historical","trip_id; duration; start_time; end_time; start_station; end_station; start_lat; start_lon; end_lat; end_lon; bike_id; plan_duration; trip_route_category; passholder_type; bike_type","Index: https://www.rideindego.com/about/data/ | Pattern: https://www.rideindego.com/wp-content/uploads/{YYYY}/{MM}/indego-trips-{YYYY}-q{N}.zip","Zipped CSV","No","Coverage 2015 Q2 - 2026 Q2. Recommend restricting to 2022 Q1+ for schema consistency, post-COVID demand regime, and e-bike presence. Load as one continuous pass across quarters so bike_id continuity survives quarter boundaries. Drop 'Virtual Station' rows before building the ledger."
"2","Indego Station Table","Historical","Station ID; Station Name; Go live date; Status (Active/Inactive)","https://www.rideindego.com/wp-content/uploads/2026/07/indego-stations-2026-07-15.csv","CSV","No","Filename is date-stamped and changes on update; re-scrape the link from the Data page rather than hardcoding. Does NOT contain historical capacity."
"3","Indego GBFS Root","Live","Feed auto-discovery; available feed URLs per language","https://gbfs.bcycle.com/bcycle_indego/gbfs.json","JSON","No","Resolve feed URLs from here at runtime rather than hardcoding child endpoints."
"4","Indego Station Information","Live (semi-static)","station_id; name; lat; lon; capacity; region_id; rental_methods","https://gbfs.bcycle.com/bcycle_indego/station_information.json","JSON","No","Reflects CURRENT capacity only. For historical windows use max(O(s,t)) over a rolling 90-day window as the empirical estimate and cross-check against this."
"5","Indego Station Status","Live (~1 min)","num_bikes_available; num_ebikes_available; num_docks_available; num_docks_disabled; is_renting; is_returning; is_installed; last_reported","https://gbfs.bcycle.com/bcycle_indego/station_status.json","JSON","No","Snapshot only - no historical archive is published. Start a 5-minute cron NOW in parallel with model development; 2-4 weeks of polling gives an overlap window against a future trip CSV release for validating the ledger."
"6","Indego Station GeoJSON","Live","Station geometry plus status (legacy Indego-native feed)","http://www.rideindego.com/stations/json/","GeoJSON","No","Field names differ from GBFS; needs its own parser. Lower priority."
"7","Open-Meteo Historical Weather (ERA5)","Historical (1940+)","temperature_2m; apparent_temperature; precipitation; rain; snowfall; wind_speed_10m; wind_gusts_10m; relative_humidity_2m; cloud_cover; weather_code; sunrise; sunset","https://archive-api.open-meteo.com/v1/archive?latitude=39.95&longitude=-75.16&start_date=&end_date=&hourly=","JSON","No","SECONDARY to Open-Meteo Historical Forecast. Reanalysis format differs from the live Forecast API, which introduces train/serve skew if used as the primary training source."
"8","Open-Meteo Historical Forecast","Historical (2021/22+)","Same variable set and response format as the live Forecast API; continuous stitched hourly timeseries","https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=39.95&longitude=-75.16&start_date=&end_date=&hourly=","JSON","No","Coverage start (2021/2022) aligns well with the recommended 2022 Q1+ trip window. Join to station-hours on the hour in America/New_York; set timezone=America%2FNew_York to avoid UTC offset errors."
"9","Open-Meteo Forecast","Live","current= and hourly= for the same variables; past_days= for recent backfill","https://api.open-meteo.com/v1/forecast?latitude=39.95&longitude=-75.16&current=&hourly=","JSON","No","Forecast horizon limits how far ahead capacity can be predicted. Pin the variable list in config shared with the training job."
"10","Street Lane Closures (Philadelphia Streets Dept)","Live + Historical","Closure type; purpose of work; permit effective start date; permit effective end date; work status; geometry","https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/LaneClosure_Master/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson","Esri JSON / GeoJSON","No","This is a CURRENT-STATE layer. Expired permits may be deleted, so historical depth degrades over time. Snapshot daily from day one to preserve history going forward."
"11","Street Lane Closures - Bulk Download","Historical","Same fields as Row 11, full snapshot","CSV: https://hub.arcgis.com/api/v3/datasets/e10172ebe7964f63830505457c0d7c2a_0/downloads/data?format=csv&spatialRefId=3857&where=1%3D1 | GeoJSON: https://hub.arcgis.com/api/v3/datasets/e10172ebe7964f63830505457c0d7c2a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1","CSV / GeoJSON / SHP","No","CSV export is in EPSG:3857; GeoJSON in EPSG:4326. Reproject to a consistent CRS before any distance buffer, or buffer distances will be wrong by the Web Mercator scale factor (~1.29x at Philadelphia's latitude)."
"12","Street Lane Closures - PGW","Live + Historical","Gas-main work closures; historical list method and current list method","https://opendata.pgworks.com/EUN/","SOAP / XML","No","SOAP endpoint with two methods (historical and current) - the historical method is valuable because it gives real closure history rather than a snapshot. Requires a SOAP client, not plain REST."
"13","PennDOT RCRS Event Data","Live","liveEvents; plannedEvents - incidents, roadwork, restrictions statewide","https://gisdata.penndot.pa.gov/RCRS_Event_Data/api/RCRS/liveEvents | https://gisdata.penndot.pa.gov/RCRS_Event_Data/api/RCRS/plannedEvents","JSON","Yes - HTTP Basic","Requires a Data Feed Request Form to obtain credentials - submit early, lead time is unknown. Live-only, so it has no training counterpart; treat as optional unless you archive it yourself."
"14","Philadelphia Bike Network (PASDA)","Static","Bike lanes; connector streets; regional routes; trails and side paths","https://mapservices.pasda.psu.edu/server/rest/services/pasda/PhiladelphiaBikeNetwork_SupportingDatasets/MapServer","Esri REST","No","Without this, closure features are noisy - most lane closures are irrelevant to bike traffic."
"15","Philadelphia Street Centerlines","Static","Segment geometry; seg_id; street name; street class","https://mapservices.pasda.psu.edu/server/rest/services/pasda/CityPhillyStreets/MapServer/18","Esri REST","No","Layer 18 is 'Philadelphia Street Centerlines 2025' within the CityPhillyStreets MapServer. Requires a defined linkage rule (e.g. closure intersects a bike-network segment within 150m of a station) - this rule is a modelling decision, not a data property."
"16","Calendar / Temporal Features","Derived","hour_of_day; day_of_week; is_weekend; month; US federal holidays; Philadelphia local events; daylight flag; days since station go-live","No external endpoint - computed in-pipeline (Python 'holidays' library; daylight from daily=sunrise,sunset on the Open-Meteo endpoints)","N/A","No","Covers the 'time of day and day of week' arm of the hypothesis. Generate identically in the training and inference paths from shared code to prevent skew. Timezone must be America/New_York throughout, including DST transitions."
