"ID","Source Name","Recency","Data (Key Fields)","Endpoint","Format","Auth Required","Verified Coverage","Endpoint Status (verified 2026-09-17)","Notes / Caveats"
"1","Indego Trip Data","Historical","trip_id; duration; start_time; end_time; start_station; end_station; start_lat; start_lon; end_lat; end_lon; bike_id; plan_duration; trip_route_category; passholder_type; bike_type","Index: https://www.rideindego.com/about/data/ | Pattern: https://www.rideindego.com/wp-content/uploads/{YYYY}/{MM}/indego-trips-{YYYY}-q{N}.zip","Zipped CSV","No","2017 Q3 - 2026 Q2 (36 quarterly archives listed)","OK (200; indego-trips-2026-q2.zip = 10,080,163 bytes, application/zip)","VERIFIED coverage 2017 Q3 - 2026 Q2; the previously recorded 2015 Q2 start is INCORRECT - no pre-2017 Q3 archive is listed on the data page. Recommend restricting to 2022 Q1+ for schema consistency, post-COVID demand regime, and e-bike presence. Load as one continuous pass across quarters so bike_id continuity survives quarter boundaries. Drop 'Virtual Station' rows before building the ledger."
"2","Indego Station Table","Historical","Station ID; Station Name; Go live date; Status (Active/Inactive)","https://www.rideindego.com/wp-content/uploads/2026/07/indego-stations-2026-07-15.csv","CSV","No","Current snapshot only; no historical capacity","OK (HTTP 200)","Filename is date-stamped and changes on update; re-scrape the link from the Data page rather than hardcoding. Does NOT contain historical capacity."
"3","Indego GBFS Root","Live","Feed auto-discovery; available feed URLs per language","https://gbfs.bcycle.com/bcycle_indego/gbfs.json","JSON","No","Live","OK (HTTP 200)","Resolve feed URLs from here at runtime rather than hardcoding child endpoints."
"4","Indego Station Information","Live (semi-static)","station_id; name; lat; lon; capacity; region_id; rental_methods","https://gbfs.bcycle.com/bcycle_indego/station_information.json","JSON","No","Current capacity/geometry only; no history","OK (HTTP 200)","Reflects CURRENT capacity only. For historical windows use max(O(s,t)) over a rolling 90-day window as the empirical estimate and cross-check against this."
"5","Indego Station Status","Live (~1 min)","num_bikes_available; num_ebikes_available; num_docks_available; num_docks_disabled; is_renting; is_returning; is_installed; last_reported","https://gbfs.bcycle.com/bcycle_indego/station_status.json","JSON","No","Live snapshot only; NO published archive","OK (HTTP 200)","Snapshot only - no historical archive is published. Start a 5-minute cron NOW in parallel with model development; 2-4 weeks of polling gives an overlap window against a future trip CSV release for validating the ledger."
"6","Indego Station GeoJSON","Live","Station geometry plus status (legacy Indego-native feed)","http://www.rideindego.com/stations/json/","GeoJSON","No","Live snapshot only","OK (HTTP 200)","Field names differ from GBFS; needs its own parser. Lower priority."
"7","Open-Meteo Historical Weather (ERA5)","Historical (1940+)","temperature_2m; apparent_temperature; precipitation; rain; snowfall; wind_speed_10m; wind_gusts_10m; relative_humidity_2m; cloud_cover; weather_code; sunrise; sunset","https://archive-api.open-meteo.com/v1/archive?latitude=39.95&longitude=-75.16&start_date=&end_date=&hourly=","JSON","No","1940+ (reanalysis)","OK (HTTP 200)","SECONDARY to Open-Meteo Historical Forecast. Reanalysis format differs from the live Forecast API, which introduces train/serve skew if used as the primary training source."
"8","Open-Meteo Historical Forecast","Historical (2021/22+)","Same variable set and response format as the live Forecast API; continuous stitched hourly timeseries","https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=39.95&longitude=-75.16&start_date=&end_date=&hourly=","JSON","No","Hourly data present from 2018-01-01 through 2026-10-03","OK (200; accepts start_date from 2016-01-01 but returns all-null before 2018-01-01)","VERIFIED: usable hourly data begins 2018-01-01, not 2021/2022 as previously recorded - the window is bounded by the trip-schema decision, not by weather. Join to station-hours on the hour in America/New_York; set timezone=America%2FNew_York to avoid UTC offset errors."
"9","Open-Meteo Forecast","Live","current= and hourly= for the same variables; past_days= for recent backfill","https://api.open-meteo.com/v1/forecast?latitude=39.95&longitude=-75.16&current=&hourly=","JSON","No","Live + short forecast horizon","OK (HTTP 200)","Forecast horizon limits how far ahead capacity can be predicted. Pin the variable list in config shared with the training job."
"10","Street Lane Closures (Philadelphia Streets Dept)","Live + Historical","Closure type; purpose of work; permit effective start date; permit effective end date; work status; geometry","https://services.arcgis.com/fLeGjb7u4uXqeF9q/arcgis/rest/services/LaneClosure_Master/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson","Esri JSON / GeoJSON","No","NO usable history before 2025. 9,738 records total; permits active per year: 2022=1, 2023=2, 2024=15, 2025=331, 2026=8,481","OK (200) but historically empty","This is a CURRENT-STATE layer. Expired permits may be deleted, so historical depth degrades over time. Snapshot daily from day one to preserve history going forward. VERIFIED 2026-09-17: expired permits ARE purged - earliest expirationdate in the layer is 2024-12-10 while earliest effectivedate is 2016-08-16, i.e. the only pre-2025 rows are long-running permits not yet expired. DO NOT USE AS TRAINING HISTORY; use ID 12 (PGW) instead. Keep the daily snapshot running so history accrues from now on, and use this layer for the inference path only."
"11","Street Lane Closures - Bulk Download","Historical","Same fields as Row 11, full snapshot","CSV: https://hub.arcgis.com/api/v3/datasets/e10172ebe7964f63830505457c0d7c2a_0/downloads/data?format=csv&spatialRefId=3857&where=1%3D1 | GeoJSON: https://hub.arcgis.com/api/v3/datasets/e10172ebe7964f63830505457c0d7c2a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1","CSV / GeoJSON / SHP","No","Same layer as ID 10 - same absence of pre-2025 history","OK (200) but historically empty","CSV export is in EPSG:3857; GeoJSON in EPSG:4326. Reproject to a consistent CRS before any distance buffer, or buffer distances will be wrong by the Web Mercator scale factor (~1.29x at Philadelphia's latitude). VERIFIED 2026-09-17: this is an export of the same current-state layer as ID 10, so the 'one-time historical backfill' in pipeline step 1.4 recovers effectively nothing. Superseded by ID 12 for training history."
